bucket,rank,ticker,name,group,layer,close,ret5_pct,ret20_pct,volume_ratio20,setup_score,risk_score,spec_risk_label,signals,score_band,atr_pct,_research_score,_action,_reason,pe,pbr,dividend_yield,revenue_yoy_pct,eps_ttm,eps_yoy_pct,roe_pct,gross_margin_pct,operating_margin_pct,debt_to_equity_pct,current_ratio,free_cashflow_ttm,quality_score,value_score,fundamental_action,fundamental_reason,fundamental_data_status
low_price_health,24,2374.TW,佳能,theme,short_attack,79.3,8.48,18.36,1.12,10,0,正常,NONE,進攻優勢區,4.35,25.17,優先研究,量能未過熱,33.33,3.27,2.22,92.19686016366653,2.52,,9.062835125505424,21.66969813522746,8.173522218987058,49.16345570254105,1.527740982968096,-1214950000.0,3,0,品質觀察,EPS TTM>0、營收YoY正、負債權益可控,ok
low_price_health,39,2312.TW,金寶,theme,short_attack,28.0,-6.98,29.33,0.57,8,0,正常,"TREND,PULLBACK",進攻優勢區,7.31,21.75,等拉回確認,趨勢成立、回檔中、量能未過熱,27.02,1.86,2.14,-13.071186928393796,1.05,,5.870403860560885,5.359357788421824,1.6579748409387147,222.84097454569806,1.1796058846996829,14933368000.0,2,1,資料/品質不足,EPS TTM>0、FCF TTM>0,ok
low_price_health,31,2495.TW,普安,theme,short_attack,42.55,4.29,32.55,0.9,9,2,正常,TREND,進攻優勢區,6.09,21.25,等拉回確認,趨勢成立、量能未過熱,36.86,2.48,1.92,61.01261094999562,1.12,,6.710642818810028,43.309919728950355,9.759070220402783,60.58407398316955,2.433600896712178,96596000.0,4,1,品質佳但估值要等,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
low_price_health,34,2881.TW,富邦金,core,midlong_core,93.1,5.08,6.16,0.85,8,0,正常,NONE,進攻優勢區,1.69,18.73,等拉回確認,量能未過熱,11.9,1.46,4.61,-57.44235545557088,8.370000000000001,,,,,1190.3764146984975,,71623186000.0,2,4,資料/品質不足,EPS TTM>0、FCF TTM>0,ok
quality_value_research,9,3034.TW,聯詠,satellite,quality_value,439.5,6.55,14.3,1.76,13,1,正常,TREND,進攻優勢區,3.04,27.36,優先研究,趨勢成立,17.21,3.55,5.48,-9.640240714461001,24.41,-28.4393063583815,20.647089029466557,39.0571728527382,17.401137500770673,44.12586146263445,3.637430758672246,35732416000.0,4,3,品質價值優先,EPS TTM>0、ROE>=12%、負債權益可控、FCF TTM>0,ok
quality_value_research,8,4995.TWO,晶達,satellite,quality_value,45.0,6.89,10.84,2.29,13,2,正常,TREND,進攻優勢區,2.34,25.17,優先研究,趨勢成立,16.06,2.05,4.56,22.746081974273036,2.73,94.23076923076923,12.736618243828996,33.133135173060296,12.744073387230598,95.4345435750671,1.5512731538047995,184490000.0,5,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、FCF TTM>0,ok
quality_value_research,23,6161.TWO,捷波,satellite,quality_value,44.0,5.9,11.39,2.61,11,2,正常,PULLBACK,進攻優勢區,2.31,22.28,優先研究,回檔中,15.1,1.85,4.89,40.76126498759132,2.97,45.61403508771931,12.280848331874887,35.97540887331731,11.519212533911634,33.567051139420116,2.908213319157162,288540000.0,5,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、FCF TTM>0,ok
quality_value_research,30,1560.TW,中砂,satellite,quality_value,574.0,8.3,21.1,1.27,9,2,正常,TREND,進攻優勢區,4.99,19.22,等拉回確認,趨勢成立,61.9,10.34,0.87,18.81566954135241,9.280000000000001,,16.454979083736912,34.18455959274485,15.494831955679322,56.18588909138246,2.5122286543897405,1853439000.0,5,0,品質佳但估值要等,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控、FCF TTM>0,ok
quality_value_research,35,4953.TWO,緯軟,satellite,quality_value,123.5,2.07,7.39,2.29,8,1,正常,NONE,進攻優勢區,2.81,14.98,等拉回確認,進攻優勢區,14.44,2.14,4.1,32.947625173938235,9.26,53.64238410596025,15.928138726104581,14.234281467516121,5.720815584871043,53.361566530793525,2.6554326120950025,-368000000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、ROE>=12%、負債權益可控,ok
quality_value_research,38,3592.TW,瑞鼎,satellite,quality_value,235.5,-1.67,6.8,2.36,8,1,正常,NONE,進攻優勢區,4.19,14.86,等拉回確認,進攻優勢區,13.21,1.59,6.06,0.7300100819549016,16.0,-36.8595041322314,11.286345365469032,28.576507154154555,5.276860264096811,81.35826667323737,2.008390290083491,812417000.0,4,4,品質價值優先,EPS TTM>0、營收YoY正、負債權益可控、FCF TTM>0,ok
