rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
1,2026-04-27,2388.TW,威盛,theme,short_attack,74.7,-4.48,12.84,34.84,42.56,24807363,13665876,1.82,61.2,54.38,53.73,-6.63,22.07,15,5,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,7,疑似炒作風險高,急拉爆量型,短線急漲、波段急漲、爆量,"短線急漲,波段急漲,爆量,波動劇烈,震幅過大,乖離偏大,乖離過大,追價風險高",2,3,2,1,7.02,劇烈,X,1,0,0,UP
2,2026-04-27,5386.TWO,青雲,theme,short_attack,363.5,6.91,9.32,10.15,25.78,3146680,1710442,1.84,329.23,251.2,163.74,-17.57,10.41,15,2,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,3,投機偏高,資金擁擠型,波段急漲、爆量、波動劇烈,"波段急漲,爆量,波動劇烈,震幅過大,乖離偏大",1,3,1,0,8.92,劇烈,A,1,0,0,UP
3,2026-04-27,2399.TW,映泰,theme,short_attack,41.35,-5.27,8.39,25.3,41.37,34226931,19841108,1.73,35.92,29.13,26.61,-5.27,15.12,15,4,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,3,投機偏高,資金擁擠型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大",1,2,1,0,8.71,劇烈,A,1,0,0,UP
4,2026-04-27,6669.TW,緯穎,theme,short_attack,4890.0,5.5,22.86,34.16,41.13,5331715,2104985,2.53,3801.0,3819.42,4064.08,0.0,28.65,14,9,"SURGE,ACCEL",高風險追價區,有點過熱，別硬追,11,疑似炒作風險高,急拉爆量型,短線急漲、5日過熱、波段急漲,"短線急漲,5日過熱,波段急漲,爆量,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高,缺少趨勢支撐,加速但結構薄",3,2,3,3,4.36,活潑,C,1,0,0,UP
5,2026-04-27,3324.TWO,雙鴻,theme,short_attack,1180.0,-2.88,13.46,25.53,19.8,9045957,5576713,1.62,1013.1,1009.93,987.85,-2.88,16.47,14,3,"TREND,ACCEL",進攻優勢區,轉強速度有出來,3,投機偏高,資金擁擠型,短線急漲、波動劇烈、震幅過大,"短線急漲,波動劇烈,震幅過大,乖離偏大,高檔無回檔",1,2,2,0,6.1,活潑,A,1,0,0,UP
6,2026-04-27,3019.TW,亞光,theme,short_attack,143.5,2.87,10.38,14.8,11.67,27408822,4816693,5.69,127.83,137.57,139.08,-12.23,12.26,14,3,ACCEL,進攻優勢區,轉強速度有出來,3,投機偏高,資金擁擠型,爆量、量能失衡、乖離偏大,"爆量,量能失衡,乖離偏大,加速但結構薄",0,2,1,1,4.03,活潑,A,1,0,0,UP
7,2026-04-27,3017.TW,奇鋐,theme,short_attack,2835.0,-3.74,13.86,28.86,24.62,6053835,4150191,1.46,2357.25,1915.33,1657.04,-3.74,20.27,12,3,"TREND,ACCEL",進攻優勢區,轉強速度有出來,3,投機偏高,高檔無回檔型,短線急漲、震幅過大、乖離偏大,"短線急漲,震幅過大,乖離偏大,乖離過大,高檔無回檔",1,1,3,0,5.59,活潑,A,-6,-3,0,DOWN
8,2026-04-27,2464.TW,盟立,satellite,midlong_core,97.0,5.78,11.62,38.37,34.16,36205182,10792767,3.35,76.38,72.82,67.52,0.0,27.0,12,7,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,8,疑似炒作風險高,高檔脫離型,波段急漲、爆量、量能失衡,"波段急漲,爆量,量能失衡,波動劇烈,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",1,4,3,1,6.24,活潑,C,0,0,0,FLAT
9,2026-04-27,2454.TW,聯發科,core,midlong_core,2435.0,0.0,28.16,50.31,53.14,23842383,13785086,1.73,1801.75,1755.5,1548.01,0.0,35.15,11,9,"SURGE,TREND,ACCEL",高風險追價區,有點過熱，別硬追,7,疑似炒作風險高,高檔脫離型,短線急漲、5日過熱、波段急漲,"短線急漲,5日過熱,波段急漲,20日飆漲,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高",4,1,3,1,5.18,活潑,C,0,0,0,FLAT
10,2026-04-27,2330.TW,台積電,core,midlong_core,2265.0,3.66,11.85,13.82,23.1,68696037,36092083,1.9,1984.25,1889.71,1694.96,0.0,14.15,11,3,"SURGE,TREND,ACCEL",進攻優勢區,題材正在發酵,1,正常,正常,爆量、震幅過大、乖離偏大,"爆量,震幅過大,乖離偏大,高檔無回檔",0,2,2,0,2.63,標準,A,0,0,0,FLAT
11,2026-04-27,3035.TW,智原,satellite,midlong_core,186.5,0.81,6.88,25.17,23.51,51481821,9749740,5.28,157.7,160.47,165.32,0.0,18.26,11,5,"SURGE,ACCEL",進攻優勢區,題材正在發酵,8,疑似炒作風險高,高檔脫離型,爆量、量能失衡、震幅過大,"爆量,量能失衡,震幅過大,乖離偏大,乖離過大,高檔無回檔,追價風險高,加速但結構薄",0,3,3,2,5.06,活潑,X,0,0,0,FLAT
12,2026-04-27,2312.TW,金寶,theme,short_attack,27.4,4.98,10.93,23.42,20.18,42107619,40843456,1.03,24.06,24.74,24.09,-22.6,13.91,10,1,PULLBACK,進攻優勢區,高檔拉回整理,2,正常,正常,波動劇烈、震幅過大、乖離偏大,"波動劇烈,震幅過大,乖離偏大",0,2,1,0,6.4,活潑,B,0,0,0,FLAT
13,2026-04-27,6182.TWO,合晶,theme,short_attack,40.3,-0.98,2.41,13.15,13.36,48591813,25568534,1.9,36.44,35.77,33.36,-10.44,10.6,10,2,"TREND,ACCEL",進攻優勢區,轉強速度有出來,2,正常,正常,爆量、波動劇烈、震幅過大,"爆量,波動劇烈,震幅過大,乖離偏大",0,3,1,0,7.1,劇烈,A,0,0,0,FLAT
